"","UsedAIPreviously","ChatGPT","Dalle","ChatSonic","Claude","Bard.AI","LaMDA","Jasper.chat","Socratic","Bing.AI","Other","HowManyTimesUsedLastMonth","AIReliableInfo","AICreateUsefulThings","AIProvidesAccurateInfo","AIEasyToUse","AIEnjoyableToUse","IFearOthersUseofAI","AIWillChangeMyLife","FriendsUseAIPersonalLives","FriendsUseAIStudyLives","IUseAIToSupportStudies","AIIsValuableToMe","AIComplexToUse","AIHelpsMeLearn","LecturersUseAISupportTeaching","IUseAIToPlanWork","IUseAIToHelpMeCreateWork","AISystemsWontHelpMeStudy","UniShouldBeAwareHowAIUsed","EasyToCheatWithAI","EasyCatchAICheats","AISystemsGaveMeInaccurateinfo","UniShouldShowMeHowToUseAI","AISystemsWillDevelopSafely","GovernmentsMustDoMoreToProtectFromAI","AISystemsWillBecomeSentient","AISystemsPoseNoDangerToUs","Gender","QualificationStudied","Year","Region"
"59","Yes","1",0,0,0,0,0,0,0,0,0,0,"Disagree","Disagree","Disagree","Agree","Neither agree/disagree","Strongly agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Strongly disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"Asia"
"60","Yes","1",0,0,0,0,0,0,0,0,0,0,"Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,"Agree","Agree","Disagree",NA,"Disagree","Strongly agree","Disagree","Agree","Agree","Neither agree/disagree","Agree","Agree","Male","Postgraduate masters degree or equivalent (MSc, MA, etc.)",1986,"United Kingdom"
"61","Yes","1",0,0,0,0,0,0,0,0,0,20,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree",NA,"Strongly agree",NA,"Agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Female",NA,2004,"Asia"
"62","Yes","1",0,0,0,1,0,0,0,0,0,30,"Agree","Strongly agree","Neither agree/disagree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Strongly agree","Strongly agree","Agree","Agree","Strongly disagree","Strongly agree",NA,"Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Strongly agree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"63","Yes","1",0,0,0,1,0,0,0,0,0,5,"Agree","Agree","Disagree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Strongly agree","Agree","Neither agree/disagree","Disagree","Agree",NA,NA,NA,NA,"Agree","Strongly agree","Disagree","Agree","Agree","Disagree","Agree","Neither agree/disagree","Strongly disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"Africa"
"64","Yes","1",0,0,0,0,0,0,0,0,0,1,"Agree","Neither agree/disagree","Disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Strongly agree","Strongly disagree","Agree","Agree","Agree",NA,NA,"Agree",NA,"Strongly agree","Agree","Strongly agree","Neither agree/disagree","Strongly agree","Agree","Disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"65","Yes","1",0,0,0,0,0,0,0,0,0,2,"Agree","Strongly agree","Neither agree/disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Agree","Strongly disagree","Agree","Agree","Strongly agree",NA,"Disagree","Strongly agree",NA,"Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Strongly disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"66","No","0",0,0,0,0,0,0,0,0,0,0,"Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Strongly agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree",NA,"Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Agree","Disagree","Strongly disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2005,"United Kingdom"
"67","Yes","1",0,0,0,0,0,0,0,0,0,20,"Neither agree/disagree","Agree","Disagree","Agree","Agree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Strongly disagree",NA,NA,"Disagree","Agree","Strongly agree",NA,"Strongly agree","Agree","Disagree","Agree","Neither agree/disagree","Strongly disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Americas"
"68","Yes","0",0,0,0,0,0,0,0,0,0,5,"Neither agree/disagree","Strongly agree","Neither agree/disagree","Agree","Agree","Neither agree/disagree","Agree","Disagree","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Strongly disagree","Agree","Disagree","Agree",NA,"Agree","Neither agree/disagree","Neither agree/disagree","Strongly agree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"69","No","0",0,0,0,0,0,0,0,0,0,0,"Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",1995,"United Kingdom"
"70","Yes","1",0,1,0,0,0,0,0,0,0,2,"Neither agree/disagree","Agree","Neither agree/disagree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Strongly disagree","Neither agree/disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly disagree","Disagree","Neither agree/disagree","Agree","Disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"71","Yes","1",1,0,0,0,0,0,0,0,0,10,"Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Agree","Disagree","Strongly agree","Disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Female","A-level, level 3 or equivalent",2003,"United Kingdom"
"72","Yes","1",0,0,0,0,0,0,0,0,0,4,"Agree","Agree","Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Disagree","Agree","Neither agree/disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree",NA,"Strongly agree","Agree","Strongly agree","Disagree",NA,"Neither agree/disagree","Disagree","Strongly disagree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"73","Yes","1",0,0,0,0,0,0,0,0,0,5,"Disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","Neither agree/disagree","Disagree","Strongly agree","Strongly agree","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree",NA,NA,"Disagree",NA,"Strongly agree","Disagree","Strongly agree",NA,"Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Female","GCSE, level 2 or equivalent",2001,"Africa"
"74","Yes","1",0,0,0,0,0,0,0,0,0,20,"Agree","Strongly agree","Neither agree/disagree","Agree","Agree","Disagree","Neither agree/disagree","Agree","Agree","Agree","Agree","Neither agree/disagree","Agree","Disagree",NA,"Agree",NA,"Agree","Disagree",NA,NA,"Strongly agree","Agree","Neither agree/disagree","Neither agree/disagree","Strongly agree","Female","Postgraduate masters degree or equivalent (MSc, MA, etc.)",2003,"Africa"
"75","No","0",0,0,0,0,0,0,0,0,0,0,"Neither agree/disagree","Strongly disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Strongly disagree",NA,"Strongly disagree","Strongly disagree",NA,"Agree","Agree",NA,NA,"Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"76","Yes","1",0,0,0,0,0,0,0,0,1,2,"Neither agree/disagree","Agree","Disagree","Agree","Agree","Neither agree/disagree","Strongly agree","Neither agree/disagree","Strongly agree","Disagree","Agree","Disagree","Agree",NA,NA,"Disagree",NA,"Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Disagree","Neither agree/disagree","Agree","Strongly disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"77","No","0",0,0,0,0,0,0,0,0,0,0,"Agree","Neither agree/disagree","Disagree","Agree","Neither agree/disagree","Strongly agree","Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree",NA,NA,NA,"Agree","Strongly agree","Strongly agree","Disagree",NA,"Strongly disagree","Disagree","Agree","Agree","Disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"78","Yes","1",0,0,0,0,0,0,0,0,0,0,"Agree","Neither agree/disagree","Neither agree/disagree","Agree","Neither agree/disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Disagree","Agree","Disagree","Disagree","Strongly disagree","Disagree","Agree",NA,NA,NA,"Agree","Neither agree/disagree","Disagree","Neither agree/disagree","Agree","Male","Medical degree",2003,"Africa"
"79","No","0",0,0,0,0,0,0,0,0,0,0,"Strongly agree","Agree","Agree","Agree","Disagree","Disagree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Disagree",NA,"Graduate Studies تم",2003,"Africa"
"80","Yes","1",0,0,0,0,0,0,0,0,0,2,"Agree","Agree","Neither agree/disagree","Strongly agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Neither agree/disagree","Disagree","Agree","Agree",NA,"Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree",NA,"Disagree","Neither agree/disagree","Agree","Agree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Africa"
"81","Yes","1",0,0,0,0,0,0,0,0,0,17,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Disagree","Strongly agree","Strongly agree","Neither agree/disagree","Strongly disagree","Strongly agree",NA,"Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Neither agree/disagree","Disagree","Disagree","Female",NA,2004,"Africa"
"82","No","0",0,0,0,0,0,1,0,1,0,3,"Agree","Disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,"Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Female","A-level, level 3 or equivalent",2005,"Africa"
"83","No","0",0,0,0,1,1,0,0,0,0,3,"Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Strongly disagree","Neither agree/disagree","Agree","Agree","Agree","Agree",NA,"Agree","Agree","Strongly disagree","Agree",NA,"Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Female","A-level, level 3 or equivalent",2005,"Africa"
"84","Yes","0",0,0,0,0,0,0,0,1,0,3,"Disagree","Neither agree/disagree","Agree","Agree","Agree","Agree","Strongly agree","Neither agree/disagree","Agree","Agree","Agree","Neither agree/disagree","Disagree","Agree","Agree","Agree",NA,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither agree/disagree","Female","A-level, level 3 or equivalent",2005,"Other"
"85","Yes","1",0,0,0,1,0,0,0,0,1,2,"Disagree","Disagree","Disagree","Agree","Agree","Neither agree/disagree","Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Strongly disagree","Agree","Disagree","Disagree",NA,"Disagree",NA,"Agree","Agree","Strongly agree",NA,"Neither agree/disagree","Agree","Disagree","Disagree","Nonbinary","A-level, level 3 or equivalent",2004,"United Kingdom"
"86","Yes","1",0,0,1,0,0,0,0,0,0,0,"Strongly disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disagree",NA,NA,NA,"Female","A-level, level 3 or equivalent",2004,"United Kingdom"
"87","No","0",0,0,0,0,0,0,0,0,0,0,"Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Agree","Agree","Disagree",NA,NA,"Neither agree/disagree","Agree","Strongly disagree","Disagree","Prefer not to say","Undergraduate degree or equivalent (BSc, BA etc.)",2002,"United Kingdom"
"88","Yes","1",0,0,0,0,0,0,0,0,0,15,"Neither agree/disagree","Agree","Disagree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Agree","Neither agree/disagree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Agree","Disagree","Strongly agree","Disagree",NA,"Strongly agree",NA,"Agree","Agree","Disagree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"Isle of Man"
"89","Yes","1",1,0,0,0,0,1,0,1,0,31,"Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Disagree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree",NA,"Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Disagree","Strongly agree","Strongly agree","Agree","Neither agree/disagree","Agree","Agree","Male","A-level, level 3 or equivalent",2004,"Isle of Man"
"90","No","0",0,0,0,0,0,0,0,0,0,0,"Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Neither agree/disagree","Disagree","Disagree","Strongly disagree","Disagree","Strongly disagree",NA,"Agree","Strongly agree","Agree",NA,NA,"Agree","Agree","Disagree","Agree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"91","Yes","1",0,0,0,1,0,0,0,1,0,0,"Neither agree/disagree","Agree","Disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Neither agree/disagree","Strongly agree","Agree","Disagree","Strongly disagree","Agree","Strongly disagree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Disagree","Strongly agree","Strongly disagree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",1995,"Isle of Man"
"92","Yes","1",0,0,0,0,0,0,0,0,0,10,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree",NA,"Agree","Agree","Disagree","Agree","Agree","Disagree",NA,"Agree","Neither agree/disagree","Agree","Agree","Neither agree/disagree","Male","A-level, level 3 or equivalent",2003,"Isle of Man"
"93","Yes","1",0,0,0,0,0,0,0,0,0,2,"Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Agree","Disagree","Strongly agree",NA,"Strongly disagree","Strongly disagree",NA,"Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Neither agree/disagree","Strongly agree","Neither agree/disagree","Disagree","Male","BTEC HNC or equivalent",2004,"Isle of Man"
"94","Yes","0",0,0,0,0,0,0,0,0,0,0,"Neither agree/disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Disagree","Agree","Agree","Agree","Neither agree/disagree","Neither agree/disagree","Disagree","Agree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Agree",NA,"Agree","Neither agree/disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"Isle of Man"
"95","Yes","1",0,1,0,1,0,0,0,0,0,3,"Neither agree/disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","Strongly disagree",NA,"Disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Neither agree/disagree",NA,"Neither agree/disagree","Male","BTEC HNC or equivalent",2004,"Americas"
"96","Yes","1",0,0,0,0,0,0,0,0,0,5,"Agree","Agree","Neither agree/disagree","Agree","Strongly agree","Disagree","Neither agree/disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree",NA,"Disagree","Strongly agree","Agree",NA,"Agree","Disagree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Americas"
"97","No","1",0,0,0,0,0,0,0,0,0,0,"Agree","Disagree","Neither agree/disagree","Strongly agree","Disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree",NA,NA,NA,"Disagree","Neither agree/disagree","Neither agree/disagree","Strongly disagree","Agree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2005,"United Kingdom"
"98","Yes","1",0,0,0,0,0,0,0,0,0,1,"Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Neither agree/disagree","Agree","Agree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Agree",NA,"Strongly disagree","Neither agree/disagree","Agree","Agree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"Isle of Man"
"99","Yes","1",1,0,0,0,0,0,0,0,0,1,"Neither agree/disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Neither agree/disagree","Neither agree/disagree","Disagree","Disagree","Agree",NA,"Disagree","Disagree",NA,"Disagree","Strongly agree","Strongly disagree","Agree",NA,"Strongly disagree","Agree","Agree","Strongly disagree","Male",NA,2005,"European Union"
"100","Yes","1",1,0,0,1,0,0,0,1,1,50,"Agree","Strongly agree","Neither agree/disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Neither agree/disagree","Agree","Agree","Strongly disagree","Strongly agree",NA,"Strongly agree","Agree","Strongly disagree","Agree","Disagree","Agree","Strongly agree","Strongly agree","Neither agree/disagree","Agree","Strongly disagree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",1999,"Other"
"101","Yes","1",0,0,0,0,0,0,0,0,0,2,"Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Agree","Strongly agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Agree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"Africa"
"102","Yes","1",0,0,0,0,0,0,0,1,0,5,"Strongly disagree","Agree","Agree","Agree","Agree","Neither agree/disagree","Agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Agree",NA,"Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Female","GCSE, level 2 or equivalent",2005,"Other"
"103","Yes","1",0,0,0,0,0,0,0,0,0,0,"Strongly disagree","Disagree","Disagree","Strongly disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Strongly disagree","Disagree","Disagree","Neither agree/disagree","Disagree","Strongly disagree","Disagree",NA,"Disagree","Disagree",NA,"Disagree",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Neither agree/disagree","Disagree","Neither agree/disagree","Female","GCSE, level 2 or equivalent",2003,"Africa"
"104","Yes","1",0,0,0,0,0,0,0,0,0,3,"Strongly disagree","Disagree","Disagree",NA,"Disagree","Strongly disagree","Strongly disagree","Neither agree/disagree","Strongly disagree","Strongly disagree","Disagree","Neither agree/disagree","Strongly disagree",NA,"Strongly disagree","Strongly disagree",NA,"Strongly disagree","Strongly disagree","Disagree",NA,"Strongly disagree","Strongly disagree","Disagree",NA,"Disagree","Male",NA,2004,"Africa"
"105","Yes","1",0,0,0,0,0,0,0,0,0,0,"Neither agree/disagree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly disagree","Strongly disagree","Disagree",NA,"Agree","Strongly agree","Agree",NA,NA,NA,NA,"Agree","Agree","Agree","Agree","Male","A-level, level 3 or equivalent",2002,"Africa"
"106","Yes","1",0,0,0,0,0,0,0,0,0,5,"Disagree","Strongly disagree","Disagree","Strongly agree","Neither agree/disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Neither agree/disagree","Neither agree/disagree","Strongly disagree","Agree","Strongly disagree",NA,"Disagree","Disagree",NA,NA,"Disagree","Strongly agree",NA,"Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Disagree","Female",NA,2004,"European Union"
"107","Yes","1",1,0,0,0,0,0,0,1,0,5,"Neither agree/disagree","Agree","Disagree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Agree","Disagree","Agree","Disagree","Strongly agree","Agree",NA,"Disagree","Agree","Neither agree/disagree","Disagree","Male","A-level, level 3 or equivalent",2003,"Isle of Man"
"108","Yes","1",0,0,0,0,0,0,0,1,0,5,"Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Disagree","Agree","Disagree",NA,NA,NA,"Disagree",NA,"Agree","Neither agree/disagree","Agree",NA,"Agree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"European Union"
"109","Yes","1",0,0,0,0,0,0,0,0,0,1,"Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Disagree","Neither agree/disagree","Disagree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","Strongly disagree","Disagree","Agree","Disagree","Agree","Strongly agree","Strongly disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2002,"Americas"
"110","No","0",0,0,0,0,0,0,0,0,0,0,"Agree","Disagree","Neither agree/disagree","Neither agree/disagree","Agree","Strongly agree","Agree","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Disagree","Agree","Strongly agree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"111","Yes","1",0,0,0,0,0,0,0,0,0,0,"Agree","Disagree","Agree","Agree","Agree","Strongly agree","Neither agree/disagree","Disagree","Disagree","Disagree","Strongly disagree","Disagree","Disagree",NA,"Disagree","Disagree",NA,"Agree","Disagree","Strongly agree",NA,"Agree","Disagree","Agree","Strongly agree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"112","Yes","1",0,0,0,0,0,0,0,1,0,2,"Agree","Disagree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Disagree","Agree","Strongly agree","Strongly disagree","Strongly agree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly agree","Disagree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Strongly disagree","Prefer not to say","Undergraduate degree or equivalent (BSc, BA etc.)",1999,"United Kingdom"
"113","No","1",1,0,0,0,0,0,0,0,0,0,"Neither agree/disagree","Strongly disagree","Agree","Agree","Strongly disagree","Neither agree/disagree","Neither agree/disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree/disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Agree","Strongly agree","Agree",NA,"Disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2004,"United Kingdom"
"114","Yes","1",1,0,0,0,0,0,0,0,0,1,"Agree","Strongly agree","Neither agree/disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly disagree","Agree","Strongly disagree","Strongly disagree",NA,"Disagree","Agree","Strongly agree","Disagree","Agree",NA,"Disagree","Agree","Strongly agree","Neither agree/disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2001,"United Kingdom"
"115","Yes","1",0,0,0,0,0,0,0,0,0,1,"Agree","Agree","Neither agree/disagree","Strongly agree","Agree","Neither agree/disagree","Neither agree/disagree","Neither agree/disagree","Agree","Neither agree/disagree","Agree","Disagree","Agree",NA,"Strongly agree",NA,"Strongly disagree","Disagree","Strongly disagree",NA,NA,"Agree","Neither agree/disagree","Neither agree/disagree","Agree","Neither agree/disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2001,"United Kingdom"
"116","Yes","1",1,0,0,0,0,0,0,0,0,5,"Agree","Agree","Agree","Agree","Strongly agree","Neither agree/disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neither agree/disagree","Agree","Strongly agree","Disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"117","Yes","0",0,0,0,0,0,0,0,0,0,2,"Neither agree/disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Neither agree/disagree","Disagree",NA,"Disagree","Disagree","Strongly agree","Agree","Agree",NA,"Agree","Disagree","Disagree","Agree","Agree","Disagree","Female","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"118","Yes","1",1,0,0,0,0,0,0,0,0,2,"Agree","Agree","Disagree","Strongly agree","Strongly agree","Neither agree/disagree","Neither agree/disagree","Disagree","Agree","Agree","Neither agree/disagree","Strongly disagree",NA,"Agree","Disagree","Disagree",NA,"Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2005,"United Kingdom"
"119","Yes","1",0,0,0,0,0,0,0,0,0,1,"Agree","Disagree","Neither agree/disagree","Agree","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree",NA,"Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neither agree/disagree","Strongly disagree","Agree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
"120","Yes","0",1,0,0,0,0,0,0,0,1,0,"Agree","Agree","Neither agree/disagree","Agree","Strongly agree","Strongly agree","Neither agree/disagree","Agree","Strongly agree","Disagree","Disagree","Disagree",NA,NA,"Agree","Disagree","Agree","Strongly agree","Strongly agree","Agree",NA,NA,"Disagree","Agree","Disagree","Strongly disagree","Male","Undergraduate degree or equivalent (BSc, BA etc.)",2003,"United Kingdom"
